"Tablica 1.2 Dolasci i noæenja domaæih i stranih turista, županije, mjeseèno"

"Županije";"Mjesec";"Tip";"2022 Domaæi";"2022 Strani"
"DUBROVAÈKO-NERETVANSKA";"I";"Noæenja";10160;16659
"DUBROVAÈKO-NERETVANSKA";"II";"Noæenja";12970;19168
"DUBROVAÈKO-NERETVANSKA";"III";"Noæenja";14278;43917
"DUBROVAÈKO-NERETVANSKA";"IV";"Noæenja";29198;239413
"DUBROVAÈKO-NERETVANSKA";"V";"Noæenja";27314;458107
"DUBROVAÈKO-NERETVANSKA";"VI";"Noæenja";56421;930969
"DUBROVAÈKO-NERETVANSKA";"VII";"Noæenja";110976;1705576
"DUBROVAÈKO-NERETVANSKA";"VIII";"Noæenja";173864;1773812
"DUBROVAÈKO-NERETVANSKA";"IX";"Noæenja";53408;983720
"DUBROVAÈKO-NERETVANSKA";"X";"Noæenja";32402;404769
"DUBROVAÈKO-NERETVANSKA";"XI";"Noæenja";16039;56101
"DUBROVAÈKO-NERETVANSKA";"XII";"Noæenja";10297;31210
