"Tablica 1.2 Dolasci i noæenja domaæih i stranih turista, županije, mjeseèno"

"Županije";"Mjesec";"Tip";"2020 Domaæi";"2020 Strani"
"DUBROVAÈKO-NERETVANSKA";"I";"Noæenja";7720;25351
"DUBROVAÈKO-NERETVANSKA";"II";"Noæenja";10818;40321
"DUBROVAÈKO-NERETVANSKA";"III";"Noæenja";6938;25494
"DUBROVAÈKO-NERETVANSKA";"IV";"Noæenja";222;2074
"DUBROVAÈKO-NERETVANSKA";"V";"Noæenja";3359;4419
"DUBROVAÈKO-NERETVANSKA";"VI";"Noæenja";26311;120547
"DUBROVAÈKO-NERETVANSKA";"VII";"Noæenja";97990;664054
"DUBROVAÈKO-NERETVANSKA";"VIII";"Noæenja";192832;862124
"DUBROVAÈKO-NERETVANSKA";"IX";"Noæenja";32332;200321
"DUBROVAÈKO-NERETVANSKA";"X";"Noæenja";11024;43541
"DUBROVAÈKO-NERETVANSKA";"XI";"Noæenja";5653;12745
"DUBROVAÈKO-NERETVANSKA";"XII";"Noæenja";3940;7269
